2021-11-07 13:32:20,872 >>> ok T:21.30 /0.00 B:21.30 /0.00 @:64
2021-11-07 13:32:21,077 <<< M105
2021-11-07 13:32:21,124 >>> ok T:21.30 /0.00 B:21.30 /0.00 @:64
2021-11-07 13:32:21,846 >>> wait
2021-11-07 13:32:22,097 >>> wait
2021-11-07 13:32:22,871 >>> wait
2021-11-07 13:32:23,119 >>> wait
2021-11-07 13:32:23,842 >>> wait
2021-11-07 13:32:24,142 >>> wait
2021-11-07 13:32:24,865 >>> wait
2021-11-07 13:32:25,117 >>> wait
2021-11-07 13:32:25,827 <<< M105
2021-11-07 13:32:25,837 >>> ok T:21.30 /0.00 B:21.30 /0.00 @:64
2021-11-07 13:32:26,078 <<< M105
2021-11-07 13:32:26,089 >>> ok T:21.30 /0.00 B:21.30 /0.00 @:64
2021-11-07 13:32:26,859 >>> wait
2021-11-07 13:32:27,111 >>> wait
2021-11-07 13:32:27,884 >>> wait
2021-11-07 13:32:28,137 >>> wait
2021-11-07 13:32:28,859 >>> wait
2021-11-07 13:32:29,110 >>> wait
2021-11-07 13:32:29,881 >>> wait
2021-11-07 13:32:30,133 >>> wait
2021-11-07 13:32:30,828 <<< M105
2021-11-07 13:32:30,858 >>> ok T:21.30 /0.00 B:21.30 /0.00 @:64
2021-11-07 13:32:31,079 <<< M105
2021-11-07 13:32:31,110 >>> ok T:21.30 /0.00 B:21.30 /0.00 @:64
2021-11-07 13:32:31,882 >>> wait
2021-11-07 13:32:32,135 >>> wait
2021-11-07 13:32:32,855 >>> wait
2021-11-07 13:32:33,108 >>> wait
2021-11-07 13:32:33,880 >>> wait
2021-11-07 13:32:34,132 >>> wait
2021-11-07 13:32:34,854 >>> wait
2021-11-07 13:32:35,104 >>> wait
2021-11-07 13:32:35,830 <<< M105
2021-11-07 13:32:35,876 >>> ok T:21.30 /0.00 B:21.30 /0.00 @:64
2021-11-07 13:32:36,079 <<< M105
2021-11-07 13:32:36,127 >>> ok T:21.30 /0.00 B:21.30 /0.00 @:64
2021-11-07 13:32:36,849 >>> wait
2021-11-07 13:32:37,101 >>> wait
2021-11-07 13:32:37,873 >>> wait
2021-11-07 13:32:38,126 >>> wait
